jira_worklog_id,jira_user_id
1022074,5f99d71c8405b1007751659d
1022076,5f99d71c8405b1007751659d
1022078,5f99d71c8405b1007751659d
1022080,5f99d71c8405b1007751659d
1022082,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022085,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022087,5f732988a290960075eb5589
1022089,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022091,5f99d71c8405b1007751659d
1022094,5f99d71c8405b1007751659d
1022096,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022099,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022101,5f99d71c8405b1007751659d
1022104,5f99d71c8405b1007751659d
1022106,5f99d71c8405b1007751659d
1022108,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022110,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022113,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022115,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022117,712020:223cfd68-5308-4515-a26c-b450422eb77f
1022119,712020:223cfd68-5308-4515-a26c-b450422eb77f
